ID,x0,x1,class
0,3.803304,1.702982,0
1,-4.835725,0.548279,0
2,10.163456,7.677377,0
3,14.345611,17.979289,1
4,-0.679961,1.430231,0
5,-3.360458,4.521367,0
6,-0.40182,1.100343,0
7,24.195268,18.559988,1
8,21.441901,18.803594,1
9,-13.304448,16.940709,1
10,14.11241,9.937374,0
11,1.256698,5.195735,0
12,21.36698,10.458191,0
13,0.889512,3.731186,0
14,0.292583,3.96609,0
15,16.469693,-0.462641,0
16,22.535758,12.404233,0
17,17.593436,18.431749,1
18,-4.611957,13.252765,1
19,10.316745,19.436139,1
20,18.838008,18.815267,1
21,-1.283317,25.441019,1
22,-0.021565,5.846309,0
23,13.332337,5.5647,0
24,14.133992,20.281578,1
25,7.757206,30.615963,0
26,-3.888853,6.840213,0
27,6.292847,13.219019,1
28,27.748785,18.279321,1
29,-1.503297,22.259416,1
30,17.709054,-2.541716,0
31,12.313764,12.03924,0
32,9.537955,20.071857,1
33,7.997712,18.501617,1
34,30.383958,-12.714715,0
35,15.198168,19.880798,1
36,-2.128123,4.949193,1
37,25.086266,9.811485,0
38,-3.707192,4.494398,0
39,1.810619,-5.416418,0
40,16.654675,10.049977,1
41,11.465495,-4.962626,0
42,16.804941,10.617261,0
43,5.277316,-0.904072,0
44,16.211164,-6.118782,0
45,7.912902,12.607718,1
46,-11.890385,15.300758,1
47,14.923085,18.541501,1
48,21.532692,-9.048298,0
49,16.616808,10.682094,0
50,0.330441,-0.057329,0
51,-3.16785,12.356952,1
52,24.439743,3.315608,0
53,19.863581,18.504042,1
54,5.003464,-0.963446,0
55,11.221189,-5.580774,1
56,6.640197,16.700375,0
57,28.898035,18.020129,1
58,3.357385,3.008138,0
59,24.765659,3.632118,0
60,26.019272,17.2636,1
61,10.626203,19.781343,1
62,13.783319,-8.910691,0
63,3.692748,-0.892481,0
64,-4.493523,12.884996,1
65,15.085354,17.700384,1
66,4.108553,23.408283,1
67,-1.169656,26.79095,1
68,8.086668,26.693222,1
69,-1.042518,27.976892,1
70,15.157109,4.055697,0
71,12.549896,23.177636,1
72,4.521331,27.153317,1
73,-11.965369,21.613147,1
74,21.048503,18.267907,1
75,-1.001219,0.456157,0
76,16.952659,0.862747,0
77,7.13948,26.761123,1
78,0.401369,3.917087,0
79,8.823309,21.652541,1
80,2.553204,16.976532,1
81,8.13822,2.284629,0
82,-3.663021,16.56638,1
83,12.456049,6.349368,0
84,17.851002,5.488497,0
85,-1.39321,0.783222,0
86,9.968103,18.09904,0
87,33.115383,-1.943267,0
88,8.151249,5.565765,0
89,20.038045,17.73993,1
90,20.218678,-13.559551,0
91,2.552403,-2.298978,0
92,19.462629,18.756471,1
93,1.073291,-1.667802,0
94,14.266999,17.174106,1
95,11.815902,7.635873,0
96,-4.261673,15.270507,1
97,-0.863593,-0.317182,0
98,0.797088,-0.063674,0
99,23.091453,18.322905,1
100,0.817262,-2.323723,0
101,21.113947,-4.938891,0
102,19.607199,18.49793,1
103,20.692515,18.040676,1
104,16.708939,18.773692,1
105,17.413259,16.390544,1
106,15.514256,17.593299,1
107,10.045217,19.483551,1
108,13.518947,18.096276,1
109,22.159413,18.196138,1
110,2.555252,1.339248,0
